Confirmed,Deaths,State,Last Update,Total Persons Tested,Negative,Division,Region,Country
24002,326,USA,3/21/20 0:00,,,,,US
10356,76,New York,3/21/20 0:00,,,Mid-Atlantic,Northeast,US
1793,94,Washington,3/21/20 0:00,,25328,Pacific,West,US
1327,16,New Jersey,3/21/20 0:00,,,Mid-Atlantic,Northeast,US
1224,23,California,3/21/20 0:00,,,Pacific,West,US
787,5,Michigan,3/21/20 0:00,,,East North Central,Midwest,US
763,12,Florida,3/21/20 0:00,,,South Atlantic,South,US
763,20,Louisiana,3/21/20 0:00,3302,,West South Central,South,US
753,6,Illinois,3/21/20 0:00,6247,,East North Central,Midwest,US
555,20,Georgia,3/21/20 0:00,,,South Atlantic,South,US
525,1,Massachusetts,3/21/20 0:00,3031,,New England,Northeast,US
475,5,Colorado,3/21/20 0:00,4550,,Mountain,West,US
371,2,Pennsylvania,3/21/20 0:00,,3766,Mid-Atlantic,Northeast,US
371,,Tennessee,3/21/20 0:00,694,,East South Central,South,US
304,5,Texas,3/21/20 0:00,6522,,West South Central,South,US
281,4,Wisconsin,3/21/20 0:00,,4628,East North Central,Midwest,US
247,3,Ohio,3/21/20 0:00,,,East North Central,Midwest,US
223,5,Connecticut,3/21/20 0:00,3100,,New England,Northeast,US
190,2,Maryland,3/21/20 0:00,,,South Atlantic,South,US
184,,North Carolina,3/21/20 0:00,5276,,South Atlantic,South,US
173,3,South Carolina,3/21/20 0:00,,1466,South Atlantic,South,US
154,2,Nevada,3/21/20 0:00,2602,2448,Mountain,West,US
152,2,Virginia,3/21/20 0:00,2790,,South Atlantic,South,US
140,1,Mississippi,3/21/20 0:00,,,East South Central,South,US
137,1,Minnesota,3/21/20 0:00,,,West North Central,Midwest,US
137,4,Oregon,3/21/20 0:00,2912,2338,Pacific,West,US
136,,Utah,3/21/20 0:00,2560,,Mountain,West,US
131,,Alabama,3/21/20 0:00,,,East South Central,South,US
126,4,Indiana,3/21/20 0:00,833,,East North Central,Midwest,US
118,,Arkansas,3/21/20 0:00,,567,West South Central,South,US
104,1,Arizona,3/21/20 0:00,,,Mountain,West,US
98,,District of Columbia,3/21/20 0:00,1055,,South Atlantic,South,US
73,3,Missouri,3/21/20 0:00,,,West North Central,Midwest,US
70,,Maine,3/21/20 0:00,2264,,New England,Northeast,US
68,,Iowa,3/21/20 0:00,,,West North Central,Midwest,US
66,,Rhode Island,3/21/20 0:00,,862,New England,Northeast,US
65,,New Hampshire,3/21/20 0:00,2212,,New England,Northeast,US
57,,New Mexico,3/21/20 0:00,4779,,Mountain,West,US
55,2,Kansas,3/21/20 0:00,,,West North Central,Midwest,US
55,1,Oklahoma,3/21/20 0:00,,560,West South Central,South,US
54,,Kentucky,3/21/20 0:00,768,,East South Central,South,US
49,2,Vermont,3/21/20 0:00,978,,New England,Northeast,US
48,,Hawaii,3/21/20 0:00,,,Pacific,West,US
45,,Delaware,3/21/20 0:00,,,South Atlantic,South,US
42,,Idaho,3/21/20 0:00,1217,,Mountain,West,US
38,,Nebraska,3/21/20 0:00,,356,West North Central,Midwest,US
28,,North Dakota,3/21/20 0:00,1182,1154,West North Central,Midwest,US
27,,Montana,3/21/20 0:00,,,Mountain,West,US
24,,Wyoming,3/21/20 0:00,,,Mountain,West,US
14,1,South Dakota,3/21/20 0:00,,691,West North Central,Midwest,US
14,,Alaska,3/21/20 0:00,,,Pacific,West,US
12,,West Virginia,3/21/20 0:00,,385,South Atlantic,South,US
32451,398,USA,3/22/20 0:00,,,,,US
15168,117,New York,3/22/20 0:00,,,Mid-Atlantic,Northeast,US
1996,95,Washington,3/22/20 0:00,,,Pacific,West,US
1914,20,New Jersey,3/22/20 0:00,,,Mid-Atlantic,Northeast,US
1468,27,California,3/22/20 0:00,,,Pacific,West,US
1049,9,Illinois,3/22/20 0:00,8374,,East North Central,Midwest,US
1035,8,Michigan,3/22/20 0:00,,,East North Central,Midwest,US
1007,13,Florida,3/22/20 0:00,,,South Atlantic,South,US
837,20,Louisiana,3/22/20 0:00,3498,,West South Central,South,US
646,5,Massachusetts,3/22/20 0:00,,,New England,Northeast,US
620,25,Georgia,3/22/20 0:00,,4020,South Atlantic,South,US
591,6,Colorado,3/22/20 0:00,5436,,Mountain,West,US
505,,Tennessee,3/22/20 0:00,,,East South Central,South,US
479,2,Pennsylvania,3/22/20 0:00,,4964,Mid-Atlantic,Northeast,US
381,4,Wisconsin,3/22/20 0:00,6230,,East North Central,Midwest,US
351,3,Ohio,3/22/20 0:00,,,East North Central,Midwest,US
334,5,Texas,3/22/20 0:00,8756,,West South Central,South,US
327,8,Connecticut,3/22/20 0:00,,,New England,Northeast,US
255,,North Carolina,3/22/20 0:00,6438,,South Atlantic,South,US
244,,Maryland,3/22/20 0:00,,,South Atlantic,South,US
219,3,Virginia,3/22/20 0:00,3337,,South Atlantic,South,US
207,1,Mississippi,3/22/20 0:00,,,East South Central,South,US
201,6,Indiana,3/22/20 0:00,1494,,East North Central,Midwest,US
195,3,South Carolina,3/22/20 0:00,,,South Atlantic,South,US
190,2,Nevada,3/22/20 0:00,2909,,Mountain,West,US
181,1,Utah,3/22/20 0:00,3689,,Mountain,West,US
169,1,Minnesota,3/22/20 0:00,,,West North Central,Midwest,US
165,,Arkansas,3/22/20 0:00,,,West South Central,South,US
161,,Oregon,3/22/20 0:00,3025,2864,Pacific,West,US
157,,Alabama,3/22/20 0:00,1602,,East South Central,South,US
152,2,Arizona,3/22/20 0:00,408,,Mountain,West,US
116,2,District of Columbia,3/22/20 0:00,1229,1113,South Atlantic,South,US
99,,Kentucky,3/22/20 0:00,1571,,East South Central,South,US
90,,Iowa,3/22/20 0:00,,,West North Central,Midwest,US
90,3,Missouri,3/22/20 0:00,,,West North Central,Midwest,US
89,,Maine,3/22/20 0:00,,2264,New England,Northeast,US
83,,Rhode Island,3/22/20 0:00,,932,New England,Northeast,US
78,,New Hampshire,3/22/20 0:00,2341,,New England,Northeast,US
69,2,Oklahoma,3/22/20 0:00,,669,West South Central,South,US
65,,New Mexico,3/22/20 0:00,5386,,Mountain,West,US
64,2,Kansas,3/22/20 0:00,,,West North Central,Midwest,US
58,,Hawaii,3/22/20 0:00,,,Pacific,West,US
56,,Delaware,3/22/20 0:00,,,South Atlantic,South,US
52,2,Vermont,3/22/20 0:00,1158,,New England,Northeast,US
47,,Idaho,3/22/20 0:00,,,Mountain,West,US
42,,Nebraska,3/22/20 0:00,,356,West North Central,Midwest,US
